,Name,Type,Consistent,Bright,Evolves,Dynamic,Consistency,Brightness,Evolution,Dynamics,OscillatorWaveShape,OscillatorOct,OscillatorSemi,OscillatorDetune,FilterCutoffFrequency,FilterLFOCutoffMod,FilterEnvCutoffMod,LFOSpeed,LFOFadeIn,OscillatorWaveShape2,OscillatorOct2,OscillatorSemi2,OscillatorDetune2,AttackTime,DecayTime,SustainLevel,SustainTime,ReleaseTime,AttackTime2,DecayTime2,SustainLevel2,SustainTime2,ReleaseTime2,VibratoSpeed,VibratoAmount,KeyboardUnison,KeyboardUnisonToggle,KeyboardDetune
91,17_05_808_40,808,True,True,True,True,1.0,0.9,0.8,0.8,0,-3,0,0.4591751695,0.9111388922,0.8502861261,0.6332166195,0.6637080908,0,0,-2,0,0.5408248305,0.04163748026,0.6018733978,0.6673812866,1,0.7243410349,0.04163748026,0.6018733978,0.6673812866,1,0.7243410349,0.09667469561,0.1400000006,0,true,0.07999999821
92,18_05_Bass_04,Bass,False,False,False,True,0.4,0.3,0.4,0.7,0,-3,0,0.3316749334,0.5618281364,0.4546667039,0.6078828573,0.3060030341,0,1,-2,0,0.6683250666,0.4238993227,0.5938929319,0.5968256593,1,0.707547307,0.4909090996,0.7454545498,0.8588886261,1,0.6363636255,0.3816106021,0.4499999881,0,true,0.2199999988
93,17_05_Pluck_18,Pluck,True,False,False,True,0.8,0.4,0.4,0.5,1,1,0,0.3888888955,0.6666666865,0.4492149055,0.71875,0.7142857313,0,0,2,0,0.6118034124,0,0.5718053579,0.5067195296,1,0.6777035594,0,0.5718053579,0.5090909004,1,0.6777035594,0.1882611811,0.2599999905,0,true,0.1449999958
94,04_05_808_07,808,False,True,True,False,0.0,0.6,0.9,0.3,0,-3,0,0.2698412836,0.7380952239,0,0.6380457878,0.7142857313,0,0,-2,0,0.7380475998,0,0.3998488486,0.5067195296,1,0.3272727132,0,0.4727272689,0.5090909004,1,0.3270148933,0.6898656487,0.6899999976,0,true,0.4569999874
95,17_05_Pluck_22,Pluck,True,False,True,False,0.9,0.3,0.7,0.3,1,1,0,0.4047619104,0.5634920597,0.722382009,0.6380457878,0.6031746268,0,0,2,0,0.5957427025,0,0.5087379217,0.3472653329,1,0.6293501854,0,0.5087379217,0.3472653329,1,0.6293501854,0.15625,0.2265625,0,true,0.140625
96,18_05_Lead_04,Lead,False,False,False,True,0.4,0.3,0.4,0.7,1,0,0,0.3316749334,0.5618281364,0.4546667039,0.6078828573,0.3060030341,0,1,0,0,0.6683250666,0.4238993227,0.5938929319,0.5968256593,1,0.707547307,0.4909090996,0.7454545498,0.8588886261,1,0.6363636255,0.3816106021,0.4499999881,0,true,0.2199999988
97,18_05_Lead_12,Lead,False,False,True,True,0.1,0.1,0.6,0.5,1,0,0,0.2483388484,0.4047619104,0.6568347216,0.5649433136,0.5702064037,0,1,0,0,0.7516611814,0.3648379445,0.5747415423,0.476249963,1,0.661514163,0.3648379445,0.5747415423,0.476249963,1,0.661514163,0.5234375,0.5546875,0,true,0.3671875
98,17_05_Pluck_34,Pluck,True,True,False,True,0.8,0.9,0.3,0.8,1,1,0,0.3845299482,0.9693186283,0.4090722799,0.6276510954,0.6841570139,0,0,2,0,0.6154700518,0,0.6018733978,0.6673812866,1,0.7197589874,0,0.4727272689,0.5090909004,1,0.3270148933,0.2086137533,0.2800000012,0,true,0.148999989
99,17_05_808_30,808,True,True,False,False,0.6,0.8,0.4,0.3,0,-3,0,0.3677124381,0.8422288895,0.462713778,0.6380457878,0.327390641,0,0,-2,0,0.6322875619,0,0.5005908012,0.2480466217,1,0.6105094552,0,0.5005908012,0.2480466217,1,0.6105094552,0.2798478007,0.3700000048,0,true,0.1640625
100,18_05_Bass_03,Bass,False,False,False,False,0.3,0.2,0.1,0.4,0,-3,0,0.3151577115,0.5071793199,0.2934673131,0.5072969198,0.1183643416,0,1,-2,0,0.6848422885,0.292507261,0.5395618081,0.3869529068,1,0.6447850466,0.09765061736,0.4722285271,0.0892970562,1,0.4876755178,0.4630208313,0.5199999809,0,true,0.3189999759
