,Name,Type,Consistent,Bright,Evolves,Dynamic,OscillatorWaveShape,OscillatorOct,OscillatorSemi,OscillatorDetune,FilterCutoffFrequency,FilterLFOCutoffMod,FilterEnvCutoffMod,LFOSpeed,LFOFadeIn,VibratoSpeed,VibratoAmount,KeyboardUnison,KeyboardUnisonToggle,KeyboardDetune
0,808B01,808,False,True,False,False,0,-3,0,0.5,0.5,0,0.5497624874,0.5,0,0.5,0.078125,0,true,0.1796875
1,808B02,808,False,True,False,False,0,-3,0,0.5,0.5078125,0,0.5497624874,0.5,0,0.5,0.078125,0,true,0.1796875
2,808B03,808,False,True,False,False,0,-3,0,0.5,0.5078125,0,0.5497624874,0.5,0,0.5,0.078125,0,true,0.1796875
3,808B04,808,False,True,False,False,0,-3,0,0.5,0.5396825671,0,0.5497624874,0.5,0,0.5,0.078125,0,true,0.1796875
4,808BC01,808,True,True,False,False,1,-3,0,0.5,0.3571428657,0,0.78125,0.5,0,0.5,0,0,false,0
5,808BC02,808,True,True,False,False,1,-3,0,0.5,0.3492063582,0,0.78125,0.5,0,0.5,0,0,false,0
6,808BC03,808,True,True,False,False,1,-3,0,0.5,0.3492063582,0,0.78125,0.5,0,0.5,0,0,false,0
7,808BC04,808,True,True,False,False,1,-3,0,0.5,0.2539682686,0,0.78125,0.5,0,0.5,0,0,false,0
8,808C01,808,True,False,False,False,0,-3,0,0.5,0.1587301642,0.75,0.78125,0,0,0.5,0,0,false,0
9,808C02,808,True,False,False,False,0,-3,0,0.5,0.03968254104,0.75,0.78125,0.5873016119,0,0.5,0,0,false,0
10,808C03,808,True,False,False,False,0,-3,0,0.5,0.203125,0.75,0.78125,0.4682539701,0,0.5,0,0,false,0
11,808C04,808,True,False,False,False,0,-3,0,0.5,0.203125,0.75,0.78125,0.4682539701,0,0.5,0,0,false,0
12,808ED01,808,True,False,True,True,0,-3,0,0.5,0.1587301642,0.75,0.78125,0.5,0,0.5,0,0,false,0
13,808ED02,808,True,False,True,True,0,-3,0,0.5,0.1587301642,0.75,0.78125,0.5873016119,0,0.5,0,0,false,0
14,808ED03,808,True,False,True,True,0,-3,0,0.5,0.1587301642,0.75,0.78125,0.4682539701,0,0.5,0,0,false,0
15,808ED04,808,True,False,True,True,0,-3,0,0.5,0.1587301642,0.75,0.78125,0.4682539701,0,0.5,0,0,false,0
