,Name,Type,Consistent,Bright,Evolves,Dynamic,Consistency,Brightness,Evolution,Dynamics,OscillatorWaveShape,OscillatorOct,OscillatorSemi,OscillatorDetune,FilterCutoffFrequency,FilterLFOCutoffMod,FilterEnvCutoffMod,LFOSpeed,LFOFadeIn,OscillatorWaveShape2,OscillatorOct2,OscillatorSemi2,OscillatorDetune2,AttackTime,DecayTime,SustainLevel,SustainTime,ReleaseTime,AttackTime2,DecayTime2,SustainLevel2,SustainTime2,ReleaseTime2,VibratoSpeed,VibratoAmount,KeyboardUnison,KeyboardUnisonToggle,KeyboardDetune
21,15_03_Pluck_15,Pluck,False,True,False,False,0.0,0.5,0.2,0.0,1,0,0,0.2113248706,0.6984127164,0.5,0.5913467407,0.277777791,0,1,1,0,0.7886751294,0.1454545408,0.3099362254,0.4167185724,1,0.5947558284,0,0.3090909123,0.4181818068,1,0.3818181753,0.2421875,0.234375,0,true,0.421875
22,15_03_Pluck_16,Pluck,False,True,False,False,0.0,0.8,0.3,0.2,1,0,0,0.2113248706,0.8046875,0.3842606544,0.5913467407,0.2606053054,0,1,1,0,0.7886751294,0.1454545408,0.3099362254,0.4167185724,1,0.5947558284,0.1090909094,0.3090909123,0.4181818068,1,0.4181818068,0.2421875,0.234375,0,true,0.421875
23,15_03_Pluck_17,Pluck,True,True,False,False,0.6,0.8,0.4,0.4,2,0,0,0.3095238209,0.8046875,0.5,0.5913467407,0.277777791,0,2,0,0,0.6904761791,0.2636966109,0.5247120857,0.5,1,0.4467727542,0.2636966109,0.5209665298,0.5,1,0.4467727542,0.390625,0.4296875,0,true,0.4453125
24,15_03_Pluck_18,Pluck,True,True,False,False,0.7,0.7,0.4,0.2,2,1,0,0.3888888955,0.793650806,0.5,0.5913467407,0.277777791,0,2,2,0,0.6118034124,0.1454545408,0.3099362254,0.4167185724,1,0.5947558284,0.1090909094,0.3090909123,0.4181818068,1,0.4181818068,0.390625,0.4296875,0,true,0.5299999714
25,15_03_Pluck_19,Pluck,False,False,False,False,0.5,0.3,0.4,0.2,2,1,0,0.3174603283,0.5238095522,0.5,0.7456663251,0.277777791,0,2,2,0,0.6825742126,0.1454545408,0.3099362254,0.4167185724,1,0.5947558284,0.1090909094,0.3090909123,0.4181818068,1,0.4181818068,0.390625,0.4296875,0,true,0.453125
26,15_03_Pluck_20,Pluck,False,False,False,False,0.2,0.3,0.4,0.2,2,1,0,0.3174603283,0.5238095522,0.5,0.7456663251,0.277777791,0,2,1,0,0.6825742126,0.1454545408,0.3099362254,0.4167185724,1,0.5947558284,0.1090909094,0.3090909123,0.4181818068,1,0.4181818068,0.390625,0.4296875,0,true,0.5299999714
27,15_03_Pluck_21,Pluck,True,True,True,False,1.0,0.5,1.0,0.2,1,0,0,0.4126984179,0.6984127164,1,0.5913467407,0.8125,0,2,0,0,0.5866025686,0.1454545408,0.3099362254,0.4167185724,1,0.3819004297,0,0.3090909123,0.4181818068,1,0.3818181753,0.1640625,0.203125,0,true,0.2421875
28,15_03_Pluck_22,Pluck,True,True,True,False,1.0,0.5,1.0,0.2,1,1,0,0.4126984179,0.6984127164,1,0.5,0.8809523582,0,2,2,0,0.5866025686,0.1454545408,0.4776254296,0.6169843674,1,0.3711843193,0.09090909362,0.4765989482,0.6169843674,1,0.3711843193,0.1640625,0.203125,0,true,0.125
29,15_03_Pluck_23,Pluck,True,True,True,False,1.0,0.5,1.0,0.0,1,0,0,0.4126984179,0.6984127164,1,0.5,0.8809523582,0,2,0,0,0.5866025686,0.1454545408,0.2181818187,0.1818181872,1,0.3270148933,0,0.3272727132,0.1090909094,1,0.3272727132,0.1640625,0.203125,0,true,0.2421875
30,15_03_Pluck_24,Pluck,True,False,True,False,1.0,0.4,1.0,0.4,1,1,0,0.4444444478,0.6746031642,1,0.5,0.8809523582,0,2,1,0,0.5625,0.2606975734,0.5005908012,0.5262699127,1,0.4318946004,0.2606975734,0.5005908012,0.5262699127,1,0.4332431257,0.1640625,0.203125,0,true,0.1640625
31,15_03_Pluck_25,Pluck,True,False,True,False,1.0,0.2,0.6,0.4,1,1,0,0.4444444478,0.4206349254,0.828125,0.5,0.6015625,0,2,1,0,0.5625,0.1454545408,0.2181818187,0.1818181872,1,0.5947558284,0,0.3272727132,0.1090909094,1,0.3272727132,0.1640625,0.203125,0,true,0.1640625
32,15_03_Pluck_26,Pluck,True,True,True,False,1.0,0.6,0.7,0.2,1,1,0,0.4444444478,0.7539682388,1,0.5,0.6111111045,0,2,1,0,0.5625,0.1454545408,0.2181818187,0.1818181872,1,0.5947558284,0,0.3272727132,0.1090909094,1,0.3272727132,0.1640625,0.203125,0,true,0.1640625
33,15_03_Pluck_27,Pluck,True,True,True,False,1.0,0.8,0.8,0.1,1,1,0,0.4444444478,0.8174602985,1,0.5,0.71875,0,2,1,0,0.5625,0.1454545408,0.2181818187,0.1818181872,1,0.5947558284,0,0.3272727132,0.1090909094,1,0.3272727132,0.1640625,0.203125,0,true,0.1640625
34,15_03_Pluck_28,Pluck,True,True,True,True,0.1,0.5,0.6,1.0,1,0,0,0.4126984179,0.6984127164,0.5,0.5913467407,0.5317460299,0,2,0,0,0.5866025686,0.1454545408,0.3099362254,0.4167185724,1,0.5947558284,0,0.3090909123,0.4181818068,1,0.5947558284,0.1640625,0.203125,0,true,0.2421875
35,15_03_Pluck_29,Pluck,True,True,True,True,0.1,0.5,0.9,0.9,1,0,0,0.4126984179,0.6984127164,0.5,0.5913467407,0.777777791,0,2,0,0,0.5866025686,0.1454545408,0.3099362254,0.4167185724,1,0.5947558284,0,0.3090909123,0.4181818068,1,0.5625,0.1640625,0.203125,0,true,0.171875
36,15_03_Pluck_30,Pluck,True,False,True,True,0.1,0.3,0.9,0.7,1,0,0,0.4126984179,0.53125,0.59375,0.6875,0.7698412538,0,2,0,0,0.5866025686,0.1454545408,0.3099362254,0.4167185724,1,0.5232491493,0,0.3090909123,0.4181818068,1,0.5234375,0.1640625,0.203125,0,true,0.171875
37,15_03_Pluck_31,Pluck,True,False,True,True,0.1,0.3,0.9,0.6,1,0,0,0.4126984179,0.53125,0.675673902,0.6875,0.7698412538,0,2,0,0,0.5866025686,0.1454545408,0.3099362254,0.4167185724,1,0.5049061775,0,0.3090909123,0.4181818068,1,0.5049061775,0.1640625,0.203125,0,true,0.171875
38,15_03_Pluck_32,Pluck,True,False,True,True,0.1,0.3,0.8,1.0,1,0,0,0.4126984179,0.53125,0.675673902,0.6875,0.703125,0,2,0,0,0.5866025686,0.1454545408,0.3099362254,0.4167185724,1,0.5947558284,0,0.3090909123,0.4181818068,1,0.5947558284,0.1640625,0.203125,0,true,0.171875
39,15_03_Pluck_33,Pluck,True,False,True,True,0.1,0.3,0.9,1.0,2,0,0,0.4126984179,0.53125,0.675673902,0.6875,0.7698412538,0,2,1,0,0.5866025686,0.1454545408,0.3099362254,0.4167185724,1,0.5947558284,0,0.3090909123,0.4181818068,1,0.5947558284,0.1640625,0.203125,0,true,0.171875
40,15_03_Pluck_34,Pluck,True,False,True,True,0.1,0.3,0.9,1.0,2,1,0,0.4126984179,0.53125,0.675673902,0.6875,0.7698412538,0,2,1,0,0.5866025686,0.1454545408,0.3099362254,0.4167185724,1,0.5947558284,0,0.3090909123,0.4181818068,1,0.5947558284,0.1640625,0.203125,0,true,0.171875
