,Name,Min,Max,Mean
0,Dynamics,0.4,0.4,0.39999999999999997
1,AttackTime,0.1454545408,0.5272727013,0.28684058785000005
2,AttackTime2,0.0,0.5272122622,0.26258809120000004
3,DecayTime,0.2181818187,0.5819160938,0.47020926076666675
4,DecayTime2,0.3272727132,0.5818181634,0.4870059688833333
5,SustainTime,1.0,1.0,1.0
6,SustainTime2,1.0,1.0,1.0
7,ReleaseTime,0.400000006,0.6028860211,0.4852999846166666
8,ReleaseTime2,0.3272727132,0.6028860211,0.4591260353666667
9,FilterEnvCutoffMod,0.5,0.5913467407,0.5456733703500001
