,Name,Min,Max,Mean
0,Dynamics,0.1,0.1,0.09999999999999999
1,AttackTime,0.1454545408,0.2544971406,0.16583359983333332
2,AttackTime2,0.0,0.2545454502,0.08705377579333333
3,DecayTime,0.2181818187,0.4915306568,0.34995057183333333
4,DecayTime2,0.1328125,0.4915306568,0.30895026026666667
5,SustainTime,1.0,1.0,1.0
6,SustainTime2,1.0,1.0,1.0
7,ReleaseTime,0.2909090817,0.5947558284,0.4194777707333333
8,ReleaseTime2,0.2734375,0.3818181753,0.33355009058333335
9,FilterEnvCutoffMod,0.0625,0.6552881002,0.5092949469666667
